School,Stadium,Conference,Year Built,Cap.,Surface (Year)
Oregon St.,Reser,Pac-12-North,1953,45674,FieldTurf (2001)
Penn St.,Beaver,Big Ten-East,1960,107282,Grass
Pittsburgh,^Heinz Field,Atlantic Coast-Co.,2001,65050,Grass
Purdue,Ross-Ade,Big Ten-West,1924,62500,PAT (1975)
Rice,Rice,Conference USA-W,1950,47000,FieldTurf (2006)
Rutgers,High Point Solutions,Big Ten-East,1994,52454,FieldTurf (2004)
San Diego St.,^Qualcomm,Mountain West-W,1967,70561,FieldTurf (2003)
San Jose St.,Spartan,Mountain West-W,1933,30456,FieldTurf (2009)
SMU,Gerald J. Ford,American Athletic,2000,32000,FieldTurf (2013)
South Ala.,Ladd-Peebles,Sun Belt-W,1948,38888,FieldTurf (2004)
South Carolina,Williams-Brice,Southeastern-E,1934,80250,Grass
South Fla.,^Raymond James,American Athletic,1998,65890,Grass
Southern California,^L.A. Memorial Coliseum,Pac-12-South,1923,93607,Grass
Southern Miss.,Roberts,Conference USA-E,1976,36000,Sportexe Momentum Turf
Stanford,Stanford,Pac-12-North,1921,50000,Grass
Syracuse,#Carrier Dome,Atlantic Coast-Atl.,1980,49262,FieldTurf (2005)
TCU,Amon G. Carter,Big 12,2012,45000,Grass
Temple,^Lincoln Financial Field,American Athletic,2003,68532,Grass
Tennessee,Neyland,Southeastern-E,1921,102455,Grass (1994)
Texas,Royal-Memorial,Big 12,1924,100119,FieldTurf (2013)
Texas A&M,Kyle Field,Southeastern-W,1925,82600,Grass (1996)
Texas St.,Bobcat,Sun Belt-E,1981,30000,FieldTurf
Texas Tech,Jones AT&T,Big 12,1947,60454,FieldTurf
School,Stadium,Conference,Year Built,Cap.,Surface (Year)
Toledo,Glass Bowl,Mid-American-W,1937,26248,FieldTurf
Troy,Veterans Memorial/Larry Blakeney Field,Sun Belt-W,1950,30000,AstroPlay (2003)
Tulane,Yulman,American Athletic,2014,30000,FieldTurf
Tulsa,Skelly Field at H.A. Chapman,American Athletic,1930,30000,FieldTurf (2008)
UCF,Bright House Network,American Athletic,2007,45301,Grass
UCLA,^Rose Bowl,Pac-12-South,1922,91136,Grass
UConn,^Rentschler Field,American Athletic,2003,40000,Grass
UNLV,^Sam Boyd,Mountain West-W,1971,36800,TurfTech DURAPlay (2003)
Utah,Rice-Eccles,Pac-12-South,1927,45017,FieldTurf (2002)
Utah St.,Merlin Olson Field at Romney,Mountain West-M,1968,25513,AstroTurf GameDay Grass (2012)
UTEP,^Sun Bowl,Conference USA-W,1963,51500,Hellas Matrix Turf (2009)
UTSA,^#Alamodome,Conference USA-W,1993,65000,SportField
Vanderbilt,Vanderbilt,Southeastern-E,1981,40550,FieldTurf (2012)
Virginia,Scott/Harrison Field,Atlantic Coast-Co.,1931,61500,PAT (1995)
Virginia Tech,Lane/Worsham Field,Atlantic Coast-Co.,1965,65632,Grass
Wake Forest,BB&T Field at Groves,Atlantic Coast-Atl.,1968,31500,FieldTurf (2006)
Washington,Husky,Pac-12-North,1920,70138,FieldTurf (2012)
Washington St.,Clarence D. Martin,Pac-12-North,1972,32740,FieldTurf (2000)
West Virginia,Milan Puskar/Mountaineer Field,Big 12,1980,60000,FieldTurf (2007)
Western Ky.,Houchens Industries-L.T. Smith,Conference USA-E,1968,22113,FieldTurf (2009)
Western Mich.,Waldo,Mid-American-W,1939,30200,FieldTurf  (2006)
Wisconsin,Camp Randall,Big Ten-West,1917,80321,FieldTurf (2003)
Wyoming,Jonah Field at War Memorial Stadium,Mountain West-W,1950,29181,Challenge Pro 60 (2005)
